pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,average_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
2,0.28276326941569363,27.0,7,0.5,0.370313534609556,1395.0857654982165,1469.0857654982165,148,3.8859060402684564,3,0.34024179620034545,"57,141,59,118,197,3,4",False,False,0.340313534609556
2,0.28276326941569363,27.0,7,1.0,0.355545856265627,1414.5477908918037,1534.5477908918037,120,4.785123966942149,3,0.34024179620034545,"58,142,57,118,197,3,4",False,False,0.325545856265627
2,0.28276326941569363,27.0,7,2.0,0.3375669645950742,1446.797690289374,1644.797690289374,99,5.79,3,0.3488773747841105,"55,143,59,113,202,3,4",False,False,0.30756696459507415
2,0.28276326941569363,27.0,7,4.0,0.3140210557980958,1529.1618249358376,1813.1618249358376,71,8.041666666666666,3,0.36787564766839376,"49,142,60,108,213,3,4",False,False,0.2840210557980958
2,0.28276326941569363,27.0,7,8.0,0.27649897051844863,1627.7831875252039,2059.783187525204,54,10.527272727272727,3,0.3229706390328152,"48,136,64,137,187,3,4",False,False,0.2464989705184486
2,0.28276326941569363,27.0,7,16.0,0.23538766739965897,1873.2245253039791,2385.224525303979,32,17.545454545454547,3,0.38860103626943004,"92,47,57,151,4,225,3",False,False,0.20538766739965897
2,0.28276326941569363,27.0,7,32.0,0.19133827000257808,2121.5003967301727,2761.5003967301727,20,27.571428571428573,2,0.36614853195164077,"128,59,2,212,34,139,5",False,False,0.16133827000257808
2,0.28276326941569363,27.0,7,64.0,0.16494910025538717,2572.79905231432,3148.79905231432,9,57.9,2,0.38687392055267705,"140,58,2,224,10,141,4",False,False,0.13494910025538717
2,0.28276326941569363,27.0,8,0.0,0.3612124224862408,1207.8355365275652,1207.8355365275652,215,2.6805555555555554,2,0.3436960276338515,"117,118,2,52,22,199,5,64",False,False,0.3312124224862408
2,0.28276326941569363,27.0,8,0.1,0.37208649129673194,1204.445382667595,1223.7453826675949,193,2.984536082474227,3,0.2970639032815199,"172,45,53,131,4,137,3,34",False,False,0.3420864912967319
2,0.28276326941569363,27.0,8,0.25,0.36982092981536996,1206.3318417261667,1252.0818417261667,183,3.1467391304347827,3,0.2918825561312608,"169,45,53,131,4,140,3,34",False,False,0.33982092981536993
2,0.28276326941569363,27.0,8,0.5,0.35296915258183037,1216.2762361744635,1302.2762361744635,172,3.346820809248555,3,0.34024179620034545,"119,119,3,197,22,55,60,4",False,False,0.32296915258183034
2,0.28276326941569363,27.0,8,1.0,0.33994081649097574,1234.6280661703229,1378.6280661703229,144,3.9931034482758623,3,0.35578583765112265,"109,118,3,206,22,56,61,4",False,False,0.3099408164909757
2,0.28276326941569363,27.0,8,2.0,0.3343855150585912,1274.6533269169774,1472.6533269169774,99,5.79,3,0.3436960276338515,"132,114,47,4,3,34,199,46",False,False,0.3043855150585912
2,0.28276326941569363,27.0,8,4.0,0.2967185358963136,1340.528194750319,1656.528194750319,79,7.2375,3,0.3126079447322971,"133,129,51,4,3,35,181,43",False,False,0.26671853589631356
2,0.28276326941569363,27.0,8,8.0,0.2765237509627619,1428.3010066711224,1916.3010066711224,61,9.338709677419354,3,0.30569948186528495,"134,138,47,4,3,34,177,42",False,False,0.24652375096276186
2,0.28276326941569363,27.0,8,16.0,0.22863971438891773,1717.4674725758719,2277.467472575872,35,16.083333333333332,3,0.30915371329879104,"138,131,40,4,3,47,179,37",False,False,0.19863971438891773
2,0.28276326941569363,27.0,8,32.0,0.1688551762163973,2082.0285280278154,2722.0285280278154,20,27.571428571428573,4,0.30915371329879104,"133,155,34,4,4,51,179,19",False,False,0.1388551762163973
2,0.28276326941569363,27.0,8,64.0,0.16253987712788762,2407.1377191656743,3111.1377191656743,11,48.25,2,0.38687392055267705,"139,140,2,10,2,224,4,58",False,False,0.13253987712788762
3,0.3790307607004756,18.0,2,0.0,0.38759599083664387,8276.516380996496,8276.516380996496,11,48.25,212,0.6338514680483592,"367,212",True,False,0.37759599083664386
3,0.3790307607004756,18.0,2,0.1,0.38759599083664387,8276.516380996496,8277.616380996496,11,48.25,212,0.6338514680483592,"367,212",True,False,0.37759599083664386
3,0.3790307607004756,18.0,2,0.25,0.38759599083664387,8276.516380996496,8279.266380996496,11,48.25,212,0.6338514680483592,"367,212",True,False,0.37759599083664386
3,0.3790307607004756,18.0,2,0.5,0.38759599083664387,8276.516380996496,8282.016380996496,11,48.25,212,0.6338514680483592,"367,212",True,False,0.37759599083664386
3,0.3790307607004756,18.0,2,1.0,0.38790110539850686,8279.91412601089,8284.91412601089,5,96.5,206,0.6442141623488774,"206,373",False,False,0.37790110539850685
3,0.3790307607004756,18.0,2,2.0,0.3881201849042462,8283.326983242527,8289.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,2,4.0,0.3881201849042462,8283.326983242527,8295.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,2,8.0,0.3881201849042462,8283.326983242527,8307.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,2,16.0,0.3881201849042462,8283.326983242527,8331.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,2,32.0,0.3881201849042462,8283.326983242527,8379.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,2,64.0,0.3881201849042462,8283.326983242527,8475.326983242527,3,144.75,205,0.6459412780656304,"205,374",False,False,0.3781201849042462
3,0.3790307607004756,18.0,3,0.0,0.3982116280434103,6332.472626635357,6332.472626635357,7,72.375,7,0.6407599309153713,"201,371,7",False,False,0.3682116280434103
3,0.3790307607004756,18.0,3,0.1,0.39833696520941464,6332.24070820381,6332.74070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,0.25,0.39833696520941464,6332.24070820381,6333.49070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,0.5,0.39833696520941464,6332.24070820381,6334.74070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,1.0,0.39833696520941464,6332.24070820381,6337.24070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,2.0,0.39833696520941464,6332.24070820381,6342.24070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,4.0,0.39833696520941464,6332.24070820381,6352.24070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,8.0,0.39833696520941464,6332.24070820381,6372.24070820381,5,96.5,7,0.6424870466321243,"200,372,7",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,16.0,0.39833696520941464,6332.24070820381,6412.24070820381,5,96.5,7,0.6424870466321243,"372,7,200",False,False,0.3683369652094146
3,0.3790307607004756,18.0,3,32.0,0.3975897562715783,6381.496644105823,6477.496644105823,3,144.75,6,0.6424870466321243,"201,6,372",False,False,0.36758975627157825
