pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,7,0.25,0.16994100181206412,18249.677011261014,18260.677011261014,44,3,12.866666666666667,60,49,14,0.3454231433506045,"54,52,123,200,81,55,14",False,False,0.14994100181206413
6,0.539383616451501,9.0,7,0.5,0.16994100181206412,18249.677011261014,18271.677011261014,44,3,12.866666666666667,60,49,14,0.3454231433506045,"54,52,123,200,81,55,14",False,False,0.14994100181206413
6,0.539383616451501,9.0,7,1.0,0.16994100181206412,18249.677011261014,18293.677011261014,44,3,12.866666666666667,60,48,14,0.3454231433506045,"54,52,123,200,81,55,14",False,False,0.14994100181206413
6,0.539383616451501,9.0,7,2.0,0.16890645998519285,18263.670143847805,18349.670143847805,43,3,13.159090909090908,60,44,14,0.34024179620034545,"81,197,52,54,126,14,55",False,False,0.14890645998519286
6,0.539383616451501,9.0,7,4.0,0.16994100181206412,18249.677011261014,18425.677011261014,44,3,12.866666666666667,60,40,14,0.3454231433506045,"54,52,123,200,81,55,14",False,False,0.14994100181206413
6,0.539383616451501,9.0,7,8.0,0.16785124177875216,18250.220002041664,18594.220002041664,43,3,13.159090909090908,60,28,14,0.33678756476683935,"52,52,128,195,81,57,14",False,False,0.14785124177875217
6,0.539383616451501,9.0,7,16.0,0.1683199051447388,18239.22740311623,18927.22740311623,43,3,13.159090909090908,59,15,14,0.34024179620034545,"47,57,129,197,78,57,14",False,False,0.1483199051447388
6,0.539383616451501,9.0,7,32.0,0.16434940343047746,18346.260276895122,19594.260276895122,39,3,14.475,59,8,14,0.3298791018998273,"191,57,67,78,14,35,137",False,False,0.14434940343047747
6,0.539383616451501,9.0,7,64.0,0.16030680632566102,18561.032080174475,20609.032080174475,32,3,17.545454545454547,60,2,14,0.3471502590673575,"53,50,121,201,90,50,14",False,False,0.14030680632566103
6,0.539383616451501,9.0,8,0.0,0.17181491198087592,17258.408410117358,17258.408410117358,45,3,12.58695652173913,64,55,5,0.3454231433506045,"200,54,14,46,57,5,126,77",False,False,0.15181491198087593
6,0.539383616451501,9.0,8,0.25,0.17181491198087592,17258.408410117358,17269.658410117358,45,3,12.58695652173913,64,55,5,0.3454231433506045,"200,54,14,46,57,5,126,77",False,False,0.15181491198087593
6,0.539383616451501,9.0,8,0.5,0.17106607654411105,17244.008128220048,17266.508128220048,45,3,12.58695652173913,61,54,5,0.34024179620034545,"197,54,14,46,57,5,129,77",False,False,0.15106607654411106
6,0.539383616451501,9.0,8,1.0,0.17335075359665442,17239.78832141599,17283.78832141599,44,3,12.866666666666667,60,47,5,0.3436960276338515,"79,124,199,54,14,5,55,49",False,False,0.15335075359665443
6,0.539383616451501,9.0,8,2.0,0.17335075359665442,17239.78832141599,17327.78832141599,44,3,12.866666666666667,60,47,5,0.3436960276338515,"79,124,199,54,14,5,55,49",False,False,0.15335075359665443
6,0.539383616451501,9.0,8,4.0,0.17410750748468484,17209.232316500136,17385.232316500136,44,3,12.866666666666667,60,38,5,0.3454231433506045,"200,54,14,46,55,5,126,79",False,False,0.15410750748468485
6,0.539383616451501,9.0,8,8.0,0.17666823237658574,17101.2519133697,17461.2519133697,45,3,12.58695652173913,60,23,5,0.35060449050086356,"79,118,203,52,14,5,57,51",False,False,0.15666823237658575
6,0.539383616451501,9.0,8,16.0,0.17309530068180973,17081.75487250528,17801.75487250528,45,3,12.58695652173913,60,17,5,0.34024179620034545,"197,47,14,57,58,5,118,83",False,False,0.15309530068180974
6,0.539383616451501,9.0,8,32.0,0.17338542583379196,17105.95165904772,18449.95165904772,42,3,13.465116279069768,60,3,5,0.3436960276338515,"78,123,199,47,14,5,57,56",False,False,0.15338542583379197
6,0.539383616451501,9.0,8,64.0,0.16788557899492565,17464.42758588711,19384.42758588711,30,3,18.677419354838708,60,0,5,0.3471502590673575,"117,5,201,45,48,95,54,14",False,False,0.14788557899492566
6,0.539383616451501,9.0,9,0.0,0.15238437959287132,16791.147300733697,16791.147300733697,56,3,10.157894736842104,36,93,5,0.2970639032815199,"117,5,172,49,57,43,14,74,48",False,False,0.13238437959287133
