feature,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24
cpi_yoy,0.15990537147466308,0.186882170104274,0.040023946113933936,0.04097662540669009,-0.05796513694590619,-0.10026730317550026,0.0461065197540466,0.2467318456461778,-0.09758418446519537,0.36628357957515156,-0.06238504155639054,-0.08694864497717666,0.09501263041324153,-0.1089807957449014,-0.12087535674228359,-0.05781311946272732,0.07111126545341463,0.06241946538794407,0.1393625086247501,0.04310605189003082,-0.06087282476197075,-0.02490305244545752,0.016291834035031857,0.11463833427885187
dff_level,0.09196042602042179,0.27502676241149093,0.18824137696074134,-0.08016310347904422,0.047556035236658724,0.003934119267593013,-0.04408789084559453,-0.2107632765167823,-0.019611053145830365,-0.16158958496356132,0.02819612451983644,-0.029255106672629035,0.025221652629269106,0.03854013862801127,0.07332576012732073,0.05963497167679806,-0.0068976865490586676,0.131250700779337,-0.011951350999001811,-0.05123997416907747,0.0033924112993316486,0.055638741799089016,-0.01538267998997324,-0.027821777633226775
dff_chg_5d,-0.01463602431222754,0.07941769248393551,-0.0409198666120475,0.01580383111157077,0.04432430980235144,-0.019637547591271398,0.019029558717522176,0.03835022234152269,-0.2670262516161951,0.318343597588193,-0.21832191136467705,0.3066657390261359,-0.234562299365638,0.4027815152072156,-0.03844158092332527,-0.1812151070179798,0.3770720670481699,0.09560088951592402,0.01685419062715561,0.19990229911086813,0.21378351719369265,-0.004372713643956909,0.08474789496448733,-0.11761531120745353
dgs10_level,0.07366085486212093,0.29491609243769884,0.15326998367414174,0.031905167599318794,0.033881359594950186,0.01934174678055891,-0.015960465499411002,-0.14439196822510492,-0.014971391887622101,-0.1358152366868589,0.07512253962583103,-0.1252089376413364,-0.1503256291294935,0.19393506138726743,0.08520285300180304,-0.006752661047984532,-0.08703992543359966,-0.06094715021055556,-0.07473019100828582,-0.10867561247090875,0.030787558090197294,0.1803324178786771,0.03518952155503596,-0.07390579303649923
dgs10_chg_5d,-0.006182444858185085,0.15560602083958705,-0.3038079626100766,0.03319052037890616,-0.009869774545128676,0.2568424532583481,-0.12342773775964616,-0.04983033491756599,-0.026242922338432766,0.0471421500952999,-0.010689586186864164,-0.08894873153841082,0.16481011391889627,0.019281376469078383,-0.029912274037445914,-0.11436838719742894,0.0713881204081833,-0.018993892718973244,-0.07841542769197465,-0.1782213587211982,0.037358114719606435,-0.07213279253374999,-0.10209958732375421,-0.04178517103965164
icsa_log_level,-0.026780378719620114,-0.156099531948818,-0.1955973784854797,-0.26422440254167306,0.07941470448610961,-0.09865210105363814,0.07670836374191993,0.20386712751839958,-0.015669554158370985,-0.11321249297003544,-0.04511144605120625,0.17039949331629625,0.13736999144469023,-0.036042208434072125,0.11029152133237723,0.004403171964056168,0.007571416820404346,0.0755042301489988,0.009204071510849366,-0.09424822687991155,0.16170332413660307,0.19147317365374386,-0.0606311671822013,-0.17712227009631734
icsa_chg_4w,0.037194267125567816,0.015168916311703565,0.08162583698471128,0.14140100845892742,-0.22829047728795854,0.13407990485833,0.029429156498630767,0.05518980048522335,0.0034067253155999158,-0.08841834232123319,-0.36241654566279535,0.16810351229772041,0.09500862734019676,-0.0868334683316163,0.48846339772985364,0.15244851173073865,-0.0002979516510843164,-0.2194812657516609,0.028442351924713973,-0.07658498677632401,0.33030238723290356,0.06800052917169144,0.02117677265685844,-0.17273654450494105
indpro_yoy,-0.023797534539441702,0.08924213582121485,0.11883341681438149,0.29244055531932844,-0.12347392643970029,0.08575190405726557,0.09339403735205234,0.26781651922323557,-0.05841145831071004,0.17516609294705887,0.1307911638056092,-0.13648141812257605,0.08768588079566632,0.08521694864136661,-0.016111314596590213,-0.08782561568081634,-0.055506122733370286,-0.07395901496330419,0.030505874985751195,-0.07024043353960369,0.1352464970783028,0.012182786538587015,0.11186077106774124,0.19895413517641378
nfci_level,0.21698641293229073,0.06444362941192688,-0.012549061173945551,-0.20686723581225955,-0.06640590312875551,-0.08861071823780245,-0.10923091883388779,-0.23840173932477496,0.01957318287079591,0.05142623994100416,-0.23620508709711557,0.13781136921327247,-0.06302303924630225,-0.028925012793521766,0.02464937485934988,-0.07042674730383766,0.009030554214954975,-0.07060570800716018,0.046483949332003636,0.021743366334587417,-0.00877964914092316,-0.05193781671665879,-0.031528606724677534,0.0694376604699421
nfci_chg_4w,0.19246126850310794,-0.09692427412756342,0.06468977383807292,0.1915122697948559,-0.26923027619473816,0.1469069482295175,0.00824166600646719,0.04331340000255711,0.050602858242722856,-0.0276464715561599,-0.04104814335552468,-0.01278156459916416,0.042866567376284165,-0.006947006188966081,0.10517071715535069,-0.018358673336749037,-0.03720226197537736,-0.030045781686978298,0.045977461201553736,0.04417944577997507,-0.018219972943138835,0.030426140920725393,0.007499354956997378,-0.04859013896409971
t10y2y_level,-0.14039403838724634,-0.21365100822457686,-0.12495581886111563,0.12447818708283168,-0.008701284627124425,0.08630627215046716,0.12240260232385708,0.18776195818588107,0.06481661673943184,-0.01888777032217716,0.1294267936986945,-0.07845844066770519,-0.10701918384229271,0.19646393811768792,-0.015060956057608951,-0.035869840857372826,-0.06647940613150786,-0.28794230706389584,-0.04722324265496348,-0.03240295808396383,0.07896404565031757,0.17101809604196572,0.06264389720718717,-0.20877249607522905
t10y2y_sign,-0.12392799299219116,-0.22923745675091423,-0.0957673755226784,0.08017057783985634,0.011978881040067254,0.14296695216916494,0.00796059401947519,0.18405386401691465,-0.056639353056416604,-0.039612950963242674,0.13943334827381784,-0.17232612261349237,-0.15582777433827646,-0.0007447964370916561,0.17372924994196862,0.11212560049135774,-0.04281348545437306,-0.03799546898472531,-0.03842541653180977,0.04970780719291604,-0.033915542725807456,0.03012110344634379,-0.07312901647895287,0.0644553560443135
t10y2y_chg_5d,0.024986057141030752,0.06603341097776677,-0.1624854885586751,0.013596637834017357,0.09536801065412637,0.2136428148365459,-0.10829000919047226,-0.10842501458715671,0.0824163902362302,-0.1638106493771497,0.1647212440682169,0.06669311052622157,0.2577003404334394,0.17376688722583963,0.06283060448229864,0.14069789953223408,0.06446888821160934,-0.01075945182017267,0.45932536498376236,0.5342037349450405,-0.04090852196681922,0.2462742397535754,0.22175554926158453,0.042624183698599785
t10yie_level,0.050134318226762696,0.28032376699260736,0.05333367178535864,0.09384540410561365,0.01074443705997246,-0.041511516783246966,0.12098111782793444,0.32577471701666894,-0.04219530366281038,0.13039679898170095,0.07476994223298719,-0.1726339610666297,0.018617117445155464,0.00044293227937657677,-0.028752585266732186,-0.01629780674646183,-0.016465494580541317,0.024088906448435674,0.037033399415218084,-0.026065426938517332,0.038085838736772924,0.18979668736297786,0.10189068998069184,-0.09658921355818059
t10yie_chg_5d,-0.07953664337186815,0.09130006665296216,-0.1319015696266185,-0.1329468849713533,-0.11998818885389831,0.1888423231586071,-0.11682979548242553,0.13344504906182586,0.15020685010043514,-0.004092723752119567,-0.19305031134028058,-0.05444248881829858,0.04014167910982599,0.010140607487202165,0.008762237456131621,-0.1909321092244412,-0.29436989387234674,0.23265973823349265,-0.13674223300454985,-0.06364775454781928,-0.10997208959771627,-0.123793438496631,0.5573689153344619,-0.08624363400196608
umcsent_level,-0.15015336177741243,-0.2188961494244451,-0.019217806572178628,0.1762622242456177,-0.07655779779417535,0.06088903058651628,-0.17705068415186448,-0.16240938591943982,0.03252454366844394,-0.05097146968733278,0.016854466480871473,0.16657673809605392,-0.03488686752056772,-0.08979911297360785,-0.016780416590555302,-0.06813968902374348,-0.05270988275844519,0.05206927229672703,0.01718822660487963,-0.018020607441948697,0.08872598787398335,-0.09913696736264534,0.0914702088592132,0.22926860916943254
umcsent_chg_3m,-0.029821687788103967,0.026081713884653315,0.0828104489955341,0.23169204644426006,-0.12375122414803952,0.09754225710762954,-0.04125478779974582,-0.008885616468372664,0.15233140303815185,-0.19247581690849638,-0.00013768099221201169,0.3738403818961409,-0.030009602562524516,-0.07013238700328674,-0.32362587168672635,-0.06309994265539687,0.10880602695614391,0.32421276006737065,-0.13469741979205627,-0.20283188717605932,0.015533499821603444,0.4445410165660327,-0.020766567121261865,0.00971119366179754
unrate_level,-0.06450953418055251,-0.16870083283643075,-0.19339432521387873,-0.2602346979059699,0.16809453657447285,-0.10503147240740018,0.0699116884358694,0.12661712061382557,-0.00899447961261831,-0.07984489189315486,0.10093063548902612,0.036406679512017134,0.03358243511429276,0.10876732325748514,-0.07777471032455684,-0.08864465144198001,-0.0049935187740426,0.019914232644564326,-0.04794813457531185,-0.10592418951478524,0.07790606815142663,0.19824905887224747,-0.02963257697134247,-0.12727697080345704
