week_end,eval_split,action_id,action_name,reward,portfolio_return,turnover,transaction_cost
2019-01-18,train,3,gld_only,0.013820653497145428,0.0152041316999207,1.0,0.001
2019-01-25,train,1,spy_only,0.014487845435662514,0.0161038817386067,1.0,0.001
2019-02-01,train,2,tlt_only,0.01005145007491445,0.0114919758733409,1.0,0.001
2019-02-08,train,1,spy_only,0.02394810297595837,0.0255111684721538,1.0,0.001
2019-02-15,train,1,spy_only,0.0059202470618650496,0.0063814023566866,0.0,0.0
2019-02-22,train,1,spy_only,0.004115228679132495,0.0045855665548935,0.0,0.0
2019-03-01,train,2,tlt_only,0.022695754199168746,0.024523732678634,1.0,0.001
2019-03-08,train,1,spy_only,0.02757423031584993,0.0294721624490135,1.0,0.001
2019-03-15,train,2,tlt_only,0.023570968110580806,0.0255438744331502,1.0,0.001
2019-03-22,train,1,spy_only,0.0096081837594657,0.0115663372056415,1.0,0.001
2019-03-29,train,1,spy_only,0.02087110567632455,0.0215589295837415,0.0,0.0
2019-04-05,train,1,spy_only,0.004987356865897773,0.0055102223858463,0.0,0.0
2019-04-12,train,1,spy_only,-0.0008898211569763737,-0.0004826560795226,0.0,0.0
2019-04-19,train,1,spy_only,0.011281655311581382,0.0116892114223958,0.0,0.0
2019-04-26,train,2,tlt_only,-0.0004494679875793378,0.0008851904470132,1.0,0.001
2019-05-03,train,2,tlt_only,0.008643253213341437,0.0088142188853006,0.0,0.0
2019-05-10,train,2,tlt_only,0.009764278203647232,0.0099397405592935,0.0,0.0
2019-05-17,train,2,tlt_only,0.01396670456758441,0.0142074402913967,0.0,0.0
2019-05-24,train,2,tlt_only,0.031235746599766457,0.0316952355075506,0.0,0.0
2019-05-31,train,1,spy_only,0.042626566347732396,0.0449738073888688,1.0,0.001
2019-06-07,train,1,spy_only,0.004267242996333418,0.0055970949045884,0.0,0.0
2019-06-14,train,3,gld_only,0.0410451805221602,0.0428255236528112,1.0,0.001
2019-06-21,train,2,tlt_only,0.009257322478041851,0.010499776990664,1.0,0.001
2019-06-28,train,1,spy_only,0.017134432554325212,0.0186349011000339,1.0,0.001
2019-07-05,train,3,gld_only,0.008601491740997927,0.0105191417895325,1.0,0.001
2019-07-12,train,2,tlt_only,0.009722447874660962,0.011288453655178,1.0,0.001
2019-07-19,train,1,spy_only,0.014692906072649578,0.0162871242367714,1.0,0.001
2019-07-26,train,2,tlt_only,0.038352825624246516,0.0404026206529311,1.0,0.001
2019-08-02,train,3,gld_only,0.03768274023418949,0.0395172208500029,1.0,0.001
2019-08-09,train,2,tlt_only,0.04152115922936872,0.0434128409420488,1.0,0.001
2019-08-16,train,3,gld_only,0.008133596018432084,0.0097352528472636,1.0,0.001
2019-08-23,train,1,spy_only,0.024888166738320314,0.0266809227508497,1.0,0.001
2019-08-30,train,1,spy_only,0.01826996885945678,0.0191482302772247,0.0,0.0
2019-09-06,train,1,spy_only,0.00943732783384313,0.0101995329154147,0.0,0.0
2019-09-13,train,2,tlt_only,0.0363168264685159,0.0391832524247361,1.0,0.001
2019-09-20,train,2,tlt_only,0.004067645712891246,0.0059196141787047,0.0,0.0
2019-09-27,train,2,tlt_only,0.022663492217437565,0.0246308584515129,0.0,0.0
2019-10-04,train,1,spy_only,0.005261996861656445,0.0065566746893614,1.0,0.001
2019-10-11,train,1,spy_only,0.005367740007487569,0.0057042355778389,0.0,0.0
2019-10-18,train,1,spy_only,0.011900516871992589,0.0121827994287799,0.0,0.0
2019-10-25,train,1,spy_only,0.014858305829531232,0.0150528283219177,0.0,0.0
