pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,7,0.5,0.1827279609525702,17322.373950289526,17377.373950289526,110,1,5.216216216216216,37,14,0.3177892918825561,"53,63,125,184,84,56,14",False,False,0.16272796095257022
6,0.539383616451501,9.0,7,1.0,0.18300339554881048,17324.086164903536,17432.086164903536,108,1,5.3119266055045875,45,14,0.31951640759930916,"53,63,124,185,84,56,14",False,False,0.1630033955488105
6,0.539383616451501,9.0,7,2.0,0.18247886114743367,17332.068295465328,17532.068295465328,100,1,5.732673267326732,45,14,0.31951640759930916,"82,185,64,54,124,14,56",False,False,0.16247886114743368
6,0.539383616451501,9.0,7,4.0,0.18362681825644508,17346.180184779034,17722.180184779034,94,1,6.094736842105263,45,14,0.32469775474956825,"52,65,124,188,80,56,14",False,False,0.1636268182564451
6,0.539383616451501,9.0,7,8.0,0.1811416217533974,17443.347913370482,18059.347913370482,77,1,7.423076923076923,45,14,0.3229706390328152,"50,64,130,187,77,57,14",False,False,0.1611416217533974
6,0.539383616451501,9.0,7,16.0,0.1791575204239082,17598.426821681503,18590.426821681503,62,1,9.19047619047619,59,14,0.3333333333333333,"49,61,128,193,77,57,14",False,False,0.1591575204239082
6,0.539383616451501,9.0,7,32.0,0.16928057787414752,17974.59538396351,19446.59538396351,46,1,12.319148936170214,59,14,0.32469775474956825,"188,57,65,76,14,43,136",False,False,0.14928057787414753
6,0.539383616451501,9.0,7,64.0,0.1628845760295173,18429.62718636245,20541.62718636245,33,2,17.029411764705884,60,14,0.3471502590673575,"51,52,121,201,90,50,14",False,False,0.14288457602951732
6,0.539383616451501,9.0,8,0.0,0.18712103892139068,16267.646538052666,16267.646538052666,116,1,4.948717948717949,38,6,0.3126079447322971,"83,123,181,50,14,6,56,66",False,False,0.16712103892139069
6,0.539383616451501,9.0,8,0.25,0.18712103892139068,16267.646538052666,16296.646538052666,116,1,4.948717948717949,38,6,0.3126079447322971,"83,123,181,50,14,6,56,66",False,False,0.16712103892139069
6,0.539383616451501,9.0,8,0.5,0.18747946586601005,16270.443326560578,16324.443326560578,108,1,5.3119266055045875,46,6,0.3143350604490501,"83,122,182,50,14,6,56,66",False,False,0.16747946586601006
6,0.539383616451501,9.0,8,1.0,0.18923664481876548,16266.846955887704,16369.846955887704,103,1,5.5673076923076925,46,6,0.3177892918825561,"81,122,184,49,14,6,56,67",False,False,0.1692366448187655
6,0.539383616451501,9.0,8,2.0,0.18923664481876548,16266.846955887704,16472.846955887704,103,1,5.5673076923076925,46,6,0.3177892918825561,"81,122,184,49,14,6,56,67",False,False,0.1692366448187655
6,0.539383616451501,9.0,8,4.0,0.18964401985634896,16285.937915995868,16661.93791599587,94,1,6.094736842105263,45,6,0.31951640759930916,"79,122,185,50,14,6,56,67",False,False,0.16964401985634897
6,0.539383616451501,9.0,8,8.0,0.19015493617814488,16376.68763361701,16984.68763361701,76,1,7.51948051948052,45,6,0.3385146804835924,"77,116,196,51,14,6,57,62",False,False,0.1701549361781449
6,0.539383616451501,9.0,8,16.0,0.18324868898257732,16508.703643573088,17564.703643573088,66,1,8.64179104477612,45,6,0.3298791018998273,"82,116,191,49,14,6,58,63",False,False,0.16324868898257733
6,0.539383616451501,9.0,8,32.0,0.17594079992850792,16956.494367085572,18396.494367085572,45,1,12.58695652173913,60,5,0.34196891191709844,"76,123,198,47,14,5,57,59",False,False,0.15594079992850793
6,0.539383616451501,9.0,8,64.0,0.16788557899492565,17464.42758588711,19384.42758588711,30,3,18.677419354838708,60,5,0.3471502590673575,"117,5,201,45,48,95,54,14",False,False,0.14788557899492566
6,0.539383616451501,9.0,9,0.0,0.18095246199301765,15391.21372752885,15391.21372752885,179,1,3.216666666666667,24,9,0.26252158894645944,"109,9,152,63,53,64,14,70,45",False,False,0.16095246199301766
6,0.539383616451501,9.0,9,0.25,0.18095246199301765,15391.21372752885,15435.96372752885,179,1,3.216666666666667,24,9,0.26252158894645944,"109,9,152,63,53,64,14,70,45",False,False,0.16095246199301766
6,0.539383616451501,9.0,9,0.5,0.18095246199301765,15391.21372752885,15480.71372752885,179,1,3.216666666666667,24,9,0.26252158894645944,"109,9,152,63,53,64,14,70,45",False,False,0.16095246199301766
6,0.539383616451501,9.0,9,1.0,0.18004965459998018,15395.386711629193,15567.386711629193,172,1,3.346820809248555,24,9,0.25906735751295334,"111,9,150,64,53,64,14,70,44",False,False,0.1600496545999802
6,0.539383616451501,9.0,9,2.0,0.17877310269891566,15409.144861446792,15727.144861446792,159,1,3.61875,24,9,0.25734024179620035,"113,9,149,65,52,65,14,70,42",False,False,0.15877310269891567
6,0.539383616451501,9.0,9,4.0,0.1765106982101136,15474.517480293654,15978.517480293654,126,1,4.559055118110236,24,9,0.2607944732297064,"111,9,151,66,52,56,14,77,43",False,False,0.1565106982101136
6,0.539383616451501,9.0,9,8.0,0.18577867113476906,15700.769349604374,16404.769349604372,88,1,6.50561797752809,44,5,0.3160621761658031,"73,38,183,46,14,5,57,46,117",False,False,0.16577867113476907
6,0.539383616451501,9.0,9,16.0,0.1792764379908808,15882.64354638641,17034.64354638641,72,1,7.931506849315069,44,5,0.30915371329879104,"74,35,179,47,14,5,57,47,121",False,False,0.15927643799088081
6,0.539383616451501,9.0,9,32.0,0.1739536767457952,16396.840239081066,17868.840239081066,46,1,12.319148936170214,58,5,0.3436960276338515,"76,28,199,49,14,5,49,39,120",False,False,0.15395367674579521
6,0.539383616451501,9.0,9,64.0,0.16060140271907983,16819.949657171033,19059.949657171033,35,3,16.083333333333332,59,5,0.3488773747841105,"91,32,202,45,14,5,50,38,102",False,False,0.14060140271907984
6,0.539383616451501,9.0,10,0.0,0.1810585098478653,14755.427662653778,14755.427662653778,186,1,3.0962566844919786,25,9,0.2452504317789292,"93,9,142,58,54,32,14,69,48,60",False,False,0.16105850984786532
6,0.539383616451501,9.0,10,0.25,0.18059860521517146,14749.667317408892,14793.667317408892,176,1,3.2711864406779663,25,9,0.24179620034542315,"95,9,140,57,54,31,14,71,47,61",False,False,0.16059860521517147
6,0.539383616451501,9.0,10,0.5,0.18059860521517146,14749.667317408892,14837.667317408892,176,1,3.2711864406779663,25,9,0.24179620034542315,"95,9,140,57,54,31,14,71,47,61",False,False,0.16059860521517147
6,0.539383616451501,9.0,10,1.0,0.18070733730149244,14749.671180225943,14923.671180225943,174,1,3.3085714285714287,25,9,0.24179620034542315,"95,9,140,58,54,31,14,71,46,61",False,False,0.16070733730149245
