target,task,feature,mutual_information,permutation_p_value,rank
next_return_tlt,regression,dgs10_chg_5d,0.0,1.0,52
next_return_tlt,regression,t10y2y_chg_5d,0.0,1.0,53
next_return_tlt,regression,unrate_chg_3m,0.0,1.0,54
next_return_gld,regression,tlt_ret_20d,0.0456340098073551,0.0297029702970297,1
next_return_gld,regression,tlt_intraday_range,0.04001152809214714,0.06930693069306931,2
next_return_gld,regression,dgs10_level,0.03936993019716173,0.0891089108910891,3
next_return_gld,regression,tlt_ret_5d,0.03664599996534168,0.0891089108910891,4
next_return_gld,regression,tnx_level,0.03659033568010406,0.09900990099009901,5
next_return_gld,regression,t10y2y_level,0.03297180595205251,0.04950495049504951,6
next_return_gld,regression,tlt_volume_z_20,0.03216875687423171,0.0594059405940594,7
next_return_gld,regression,dff_level,0.030312425171990842,0.10891089108910891,8
next_return_gld,regression,t10y2y_chg_5d,0.02630674519488485,0.1485148514851485,9
next_return_gld,regression,tlt_ret_1d,0.02452364253021555,0.16831683168316833,10
next_return_gld,regression,spy_ret_5d,0.02337049111378109,0.1782178217821782,11
next_return_gld,regression,spy_ret_1d,0.023212228356078946,0.1485148514851485,12
next_return_gld,regression,t10yie_level,0.022243096847825772,0.13861386138613863,13
next_return_gld,regression,vix_change_5d,0.019850085872754608,0.22772277227722773,14
next_return_gld,regression,tnx_change_5d,0.016198099416372624,0.24752475247524752,15
next_return_gld,regression,qqq_spy_log_ratio,0.01450236585209641,0.27722772277227725,16
next_return_gld,regression,indpro_yoy,0.014374465295660777,0.26732673267326734,17
next_return_gld,regression,gld_ma_gap_5_20,0.012591495314679957,0.25742574257425743,18
next_return_gld,regression,gld_intraday_range,0.0095787203718114,0.3564356435643564,19
next_return_gld,regression,gld_drawdown_60d,0.008579305288985761,0.26732673267326734,20
next_return_gld,regression,gld_vol_20d,0.008132997590274638,0.38613861386138615,21
next_return_gld,regression,spy_volume_z_20,0.007421396674795133,0.43564356435643564,22
next_return_gld,regression,gld_ret_1d,0.0070833204664384475,0.32673267326732675,23
next_return_gld,regression,gld_vol_5d,0.007031536908324032,0.36633663366336633,24
next_return_gld,regression,umcsent_level,0.0062905412547014095,0.4752475247524752,25
next_return_gld,regression,tlt_vol_20d,0.006201478742088096,0.39603960396039606,26
next_return_gld,regression,qqq_spy_ratio_chg_5d,0.0050764253448103425,0.44554455445544555,27
next_return_gld,regression,gld_ret_20d,0.0030805098228854355,0.43564356435643564,28
next_return_gld,regression,dgs10_chg_5d,0.002096011947838594,0.44554455445544555,29
next_return_gld,regression,spy_ma_gap_5_20,0.0015984675463056597,0.48514851485148514,30
next_return_gld,regression,spy_tlt_corr_20d,0.0005387915085912631,0.45544554455445546,31
next_return_gld,regression,spy_ret_20d,0.0,1.0,32
next_return_gld,regression,spy_vol_5d,0.0,1.0,33
next_return_gld,regression,spy_vol_20d,0.0,1.0,34
next_return_gld,regression,spy_drawdown_60d,0.0,1.0,35
next_return_gld,regression,spy_intraday_range,0.0,1.0,36
next_return_gld,regression,tlt_vol_5d,0.0,1.0,37
next_return_gld,regression,tlt_drawdown_60d,0.0,1.0,38
next_return_gld,regression,tlt_ma_gap_5_20,0.0,1.0,39
next_return_gld,regression,gld_ret_5d,0.0,1.0,40
next_return_gld,regression,gld_volume_z_20,0.0,1.0,41
next_return_gld,regression,spy_gld_corr_20d,0.0,1.0,42
next_return_gld,regression,vix_level,0.0,1.0,43
next_return_gld,regression,cpi_yoy,0.0,1.0,44
next_return_gld,regression,dff_chg_5d,0.0,1.0,45
next_return_gld,regression,icsa_log_level,0.0,1.0,46
next_return_gld,regression,icsa_chg_4w,0.0,1.0,47
