feature,pc1,pc2,pc3,pc4,pc5,pc6
gld_ret_20d,0.003933722939580748,0.0014969287463293202,0.21608686776673236,-0.22016980325279853,0.04688761559484448,0.33296279643590737
gld_vol_5d,0.11607534289772513,-0.028430895158009326,-0.009230553546255934,-0.1194160116931633,-0.009370899798440385,0.2742179142981908
gld_vol_20d,0.13645371915246257,-0.03615752093409338,-0.04845408285744047,-0.17044221955670666,-0.08781106103206486,0.2005230675016409
gld_drawdown_60d,-0.02842894707438136,0.0068318274671644455,0.23017649032688206,-0.18545705455787864,0.06847841667503696,0.19341064151204573
gld_ma_gap_5_20,-0.0016297576061803055,-0.00017016805210078113,0.21445836384045291,-0.2037644571170326,0.047485103424792265,0.3318839383925262
gld_intraday_range,0.12361525040123615,-0.03830127629215869,0.020530384166972566,-0.041556205222720334,0.12795371283989498,0.25414022458042645
gld_volume_z_20,0.02215354806792714,-0.02569949471558285,0.09070121114817672,0.06534885720775156,0.2746202583065794,0.15348267172972485
qqq_spy_log_ratio,0.12636303198195847,0.18914796779141219,0.0361801684932581,-0.18364233730288623,0.0764138696517454,-0.0501521991326034
qqq_spy_ratio_chg_5d,-0.015079121662175099,-0.01632639568375529,0.02709780364001741,-0.06662621733856441,-0.13150552092825762,-0.05680462529531465
spy_tlt_corr_20d,0.06557401470849424,0.24010331395658602,0.014273387442484398,0.008385297997817873,0.06309284616896349,-0.09472177683624984
spy_gld_corr_20d,0.0763658485715955,0.12727831119773209,-0.036980537187509877,-0.005287689765341296,0.058341169745303366,-0.13652875249914448
vix_level,0.28449700422223767,-0.1282200289336899,-0.08068260269123423,-0.0950891418301231,0.024342024108290103,-0.00403096904181061
vix_change_5d,0.09463173386904003,-0.07885369001060948,0.06728726795887166,0.15743434169841125,0.3522973104247931,-0.00023559709131019895
tnx_level,0.07390471676041581,0.2949561977588365,0.1532488487814375,0.032132998987986494,0.03361281730281745,0.018949046188811276
tnx_change_5d,-0.0057480640879738745,0.15594230341545476,-0.2997916385571829,0.032443281118223574,-0.0012133717004117253,0.25903524485261825
cpi_yoy,0.15990537147466308,0.186882170104274,0.040023946113933936,0.04097662540669009,-0.05796513694590619,-0.10026730317550026
dff_level,0.09196042602042179,0.27502676241149093,0.18824137696074134,-0.08016310347904422,0.047556035236658724,0.003934119267593013
dff_chg_5d,-0.01463602431222754,0.07941769248393551,-0.0409198666120475,0.01580383111157077,0.04432430980235144,-0.019637547591271398
dgs10_level,0.07366085486212093,0.29491609243769884,0.15326998367414174,0.031905167599318794,0.033881359594950186,0.01934174678055891
dgs10_chg_5d,-0.006182444858185085,0.15560602083958705,-0.3038079626100766,0.03319052037890616,-0.009869774545128676,0.2568424532583481
icsa_log_level,-0.026780378719620114,-0.156099531948818,-0.1955973784854797,-0.26422440254167306,0.07941470448610961,-0.09865210105363814
icsa_chg_4w,0.037194267125567816,0.015168916311703565,0.08162583698471128,0.14140100845892742,-0.22829047728795854,0.13407990485833
indpro_yoy,-0.023797534539441702,0.08924213582121485,0.11883341681438149,0.29244055531932844,-0.12347392643970029,0.08575190405726557
nfci_level,0.21698641293229073,0.06444362941192688,-0.012549061173945551,-0.20686723581225955,-0.06640590312875551,-0.08861071823780245
nfci_chg_4w,0.19246126850310794,-0.09692427412756342,0.06468977383807292,0.1915122697948559,-0.26923027619473816,0.1469069482295175
t10y2y_level,-0.14039403838724634,-0.21365100822457686,-0.12495581886111563,0.12447818708283168,-0.008701284627124425,0.08630627215046716
t10y2y_sign,-0.12392799299219116,-0.22923745675091423,-0.0957673755226784,0.08017057783985634,0.011978881040067254,0.14296695216916494
t10y2y_chg_5d,0.024986057141030752,0.06603341097776677,-0.1624854885586751,0.013596637834017357,0.09536801065412637,0.2136428148365459
t10yie_level,0.050134318226762696,0.28032376699260736,0.05333367178535864,0.09384540410561365,0.01074443705997246,-0.041511516783246966
t10yie_chg_5d,-0.07953664337186815,0.09130006665296216,-0.1319015696266185,-0.1329468849713533,-0.11998818885389831,0.1888423231586071
umcsent_level,-0.15015336177741243,-0.2188961494244451,-0.019217806572178628,0.1762622242456177,-0.07655779779417535,0.06088903058651628
umcsent_chg_3m,-0.029821687788103967,0.026081713884653315,0.0828104489955341,0.23169204644426006,-0.12375122414803952,0.09754225710762954
unrate_level,-0.06450953418055251,-0.16870083283643075,-0.19339432521387873,-0.2602346979059699,0.16809453657447285,-0.10503147240740018
unrate_chg_3m,0.010485376118977265,-0.04616774665694818,-0.050568854291502076,-0.27996684499453667,0.18371397096182604,-0.12321225212866814
