week_end,week_last_trade_date,split,regime,regime_name,x_jm_pc1,x_jm_pc2,x_jm_pc3,x_jm_pc4,x_jm_pc5,x_jm_pc6,x_jm_regime_distance_0,x_jm_regime_distance_1,x_jm_regime_distance_2,x_jm_regime_distance_3,x_jm_regime_score_0,x_jm_regime_score_1,x_jm_regime_score_2,x_jm_regime_score_3,x_jm_regime_duration_weeks,x_jm_stress_score,x_jm_regime_changed,x_regime_0,x_regime_1,x_regime_2,x_regime_3,y_next_return_spy,y_next_return_tlt,y_next_return_gld,y_best_asset_id,y_best_asset
2014-07-11,2014-07-11,train,1,R1: Growth / trend,-0.14437704548168886,0.16817275248290697,-0.05548463341270445,-1.4187005964877375,-0.6529589618857506,0.4502169355942822,-0.5431066734805592,-0.5075802296015562,-0.4077097309000828,-0.3985729637025952,0.08938504145515737,0.49330448895297896,-0.32183480920122015,-0.24560532871615748,-0.5436728934690345,-0.24560532871615748,0,0,1,0,0,0.0055947927604351,0.0082759817384605,-0.0205777415048783,1,TLT
2014-07-18,2014-07-18,train,1,R1: Growth / trend,0.1820850084232286,0.10088179508406347,-0.05723397034726647,-1.0660256640504848,0.17920703686805284,-0.1776622626706937,-0.8338433794645481,-0.5568658636735506,-0.5126412138858153,-0.5059168944368309,0.7370244148445019,-0.12039650338929067,-0.42875846865157347,-0.24668658275365501,-0.5036636140149058,-0.24668658275365501,0,0,1,0,0,5.074481430833444e-05,0.0100415838913285,-0.0026956025156132,1,TLT
2014-07-25,2014-07-25,train,1,R1: Growth / trend,0.18532938413873176,0.03838040980875251,0.22645750418290933,-1.0005189932969274,0.25532486798032333,0.12931503298930574,-0.8162803150358451,-0.5592637562026689,-0.5695685944933139,-0.5721977661863815,0.6057527507292949,-0.13887887842487656,-0.26519301231376446,-0.24505897795570877,-0.4636543345607771,-0.24505897795570877,0,0,1,0,0,-0.0264013095451706,-0.0069821865609612,-0.011209187151976,1,TLT
2014-08-01,2014-08-01,train,1,R1: Growth / trend,1.2008073292212753,1.1658017659104558,-1.06695876230131,-0.3025750561963839,-1.290844569770694,-0.8224848117176509,0.06553888973367795,0.1966754208130441,0.11343502067768735,-0.49101367811287444,0.38057540625456493,-0.2165717714895999,-0.010403866454909844,-0.17763701053616965,-0.4236450551066484,-0.17763701053616965,0,0,1,0,0,0.0038445654562893,0.0083800622058884,0.0145522208390187,2,GLD
2014-08-08,2014-08-08,train,1,R1: Growth / trend,0.9421505479401414,0.25571326065030203,0.2736473630623388,0.036573832415039594,0.13222005946474438,0.8059234456673745,-0.5508628897272356,-0.3456845201065225,-0.5455777617903581,-1.1534855049640782,0.2237753642742949,-0.40757818285683006,0.346242818854122,-0.16819354099186745,-0.3836357756525197,-0.16819354099186745,0,0,1,0,0,0.0128333399636337,0.0189574796631313,-0.0056264289621701,1,TLT
2014-08-15,2014-08-15,train,1,R1: Growth / trend,0.6266840049044267,-0.20781784221041416,0.505331976312652,-0.7376313762735466,0.3427089838808693,0.5275341026769067,-0.7709334934976706,-0.4048482260350135,-0.4937798344124718,-1.0466001082284195,0.8835130652501345,-0.5216885101818748,-0.2362016934398847,-0.20488567778460876,-0.343626496198391,-0.20488567778460876,0,0,1,0,0,0.0177298570347381,-0.0035674334541229,-0.0182499271139907,0,SPY
2014-08-22,2014-08-22,train,1,R1: Growth / trend,0.22120997429286038,-0.825620213923719,0.37510400199672594,0.0015576110810786967,0.3484318759997606,-0.18947173923131513,-0.8431328001602917,-0.4652015580824788,-0.4386479715200734,-1.1511629511653905,1.0497129360867938,-0.42396739878526973,-0.5306338482122132,-0.19552220048014368,-0.3036172167442623,-0.19552220048014368,0,0,1,0,0,0.0076309498790285,0.015005607400736,0.0054387381740981,1,TLT
2014-08-29,2014-08-29,train,1,R1: Growth / trend,0.2552693468729954,-0.8694815991974763,0.3440672000297891,-1.2482973308486398,-0.2660311275965863,0.4311669637558656,-0.7124434472851479,-0.31771248907609334,-0.18065800930379644,-1.1814256038437612,1.2576856037601651,-0.44679680484948997,-0.7852489586151938,-0.15516665083599512,-0.2636079372901336,-0.15516665083599512,0,0,1,0,0,0.0019927756319002,-0.0256702045004558,-0.0145325613021785,0,SPY
2014-09-05,2014-09-05,train,1,R1: Growth / trend,0.11535123885207048,-0.7895491637106125,-0.20626049301094843,0.7275790702773334,0.3486142699601776,-1.8288537057680196,-0.6950593161438481,-0.2659750767731419,-0.17966958500973584,-0.734698697886617,1.3729691543910414,-0.5553573965717913,-0.7285061530407209,-0.22402997440366942,-0.2235986578360049,-0.22402997440366942,0,0,1,0,0,-0.0098455838239804,-0.0203052212306906,-0.0301491100998037,0,SPY
2014-09-12,2014-09-12,train,0,R0: Calm / risk-on,0.2317138655870616,-0.5604768688603547,-1.1860588167004364,1.3350517515068843,-0.08343253629398682,-2.504649306064977,-0.25524485444212414,0.07146906821049469,0.28064539718649006,-0.45355886286076974,1.2912226585223279,-0.33969143389389755,-0.8687162039183327,-0.21047906811761571,-1.143812085280965,-0.21047906811761571,1,1,0,0,0,0.0125952719286914,0.0107594420733201,-0.0108971189851085,0,SPY
2014-09-19,2014-09-19,train,0,R0: Calm / risk-on,0.3006771926294623,-0.6102820980448411,-0.5930105127861043,0.39445581939917307,0.2780163341257542,-1.2297673028973626,-0.8063720190975945,-0.3987728164460493,-0.23815781950743037,-0.9517626948453727,1.3209692577732859,-0.4184669870403658,-0.8196232918805318,-0.2134105646196674,-1.1038028058268363,-0.2134105646196674,0,1,0,0,0,-0.0139506777883147,0.0122168435165217,-0.0002562027520291,1,TLT
2014-09-26,2014-09-26,train,0,R0: Calm / risk-on,0.9178135188366733,0.2735800718987466,-0.7141877492874337,-0.11920374784715239,-0.25044216711814304,-1.375000920321813,-0.6429925867511944,-0.21000690219707724,-0.21068511865279993,-0.8721325872773673,1.2943099037459684,-0.6441930907791443,-0.5737354487929253,-0.2039074763875396,-1.0637935263727076,-0.2039074763875396,0,1,0,0,0,-0.0069734335847106,0.0171839195488745,-0.02092941226157,1,TLT
2014-10-03,2014-10-03,train,0,R0: Calm / risk-on,0.9512921113394496,0.3341501723266428,-0.25703333433789216,-0.4658414629574329,1.0661662913933256,-0.9415537445482378,-0.7302527689562077,-0.19550049057644137,-0.2764324882897747,-0.38916482265741814,1.5308159910796124,-0.903706459744391,-0.5330452438081006,-0.24399095619392866,-1.023784246918579,-0.24399095619392866,0,1,0,0,0,-0.0304296310598259,0.0199655336042943,0.026001184117173,2,GLD
2014-10-10,2014-10-10,train,0,R0: Calm / risk-on,1.7834158250020193,1.7929413116216377,-0.253164159859703,-1.1815348731572313,-0.5855886095754972,-0.5076708901410592,0.5859588198681804,0.8416464540137905,0.47253649407134063,0.34506895097206014,0.49931571432674177,-0.9530756428608472,0.647173409357322,-0.22331225226122786,-0.9837749674644501,-0.22331225226122786,0,1,0,0,0,-0.0108634214799258,0.0084965937687488,0.0119057876475821,2,GLD
2014-10-17,2014-10-17,train,0,R0: Calm / risk-on,1.5440487966998382,1.109440101073169,0.35864227476373933,-0.5953154028949451,0.6041153782930747,-0.012227419136811545,-0.1071956566955176,0.26756779048401075,-0.1299363446758544,-0.2050020795115148,0.5940538092079449,-1.0369175638582357,0.633713437513209,-0.2307784319804035,-0.9437656880103215,-0.2307784319804035,0,1,0,0,0,0.0422343258626498,-0.011150836757073,-0.0053785982110963,0,SPY
2014-10-24,2014-10-24,train,0,R0: Calm / risk-on,0.7815006263237542,-0.49394262320593985,0.5729912601053813,0.3580764754989557,2.2590358349791746,0.14291782720015056,-0.5103017463031406,-0.0029382816921504013,-0.1432849576851695,-0.36228912310518474,1.4244345041424797,-0.9390312378272919,-0.38640602861202744,-0.23697500851446796,-0.9037564085561928,-0.23697500851446796,0,1,0,0,0,0.0266257410868211,-0.0039255956704183,-0.0480776923140892,0,SPY
2014-10-31,2014-10-31,train,0,R0: Calm / risk-on,0.4789974210504965,-0.923130671324977,-0.21191835967364722,-0.01388191166375719,1.4222575716845505,-1.255877680206393,-0.8101991193567623,-0.14779348475922263,-0.002872295259914674,-0.6228722245328893,2.1400908380289674,-1.0929432549756462,-1.0357156818824482,-0.23389064561187933,-0.8637471291020641,-0.23389064561187933,0,1,0,0,0,0.0083308305685017,0.0066409397263131,0.0027516203489883,0,SPY
2014-11-07,2014-11-07,train,0,R0: Calm / risk-on,0.19866087009451217,-0.2957171373054412,0.7547532732724124,-0.48050853014996175,0.9634020349516857,-1.7361209919814442,-0.8167010923647343,-0.25127184934863206,-0.39656885862031865,-0.1645631561567957,1.5105536244214057,-0.986249851183741,-0.42005303320368115,-0.2506801754278477,-0.8237378496479354,-0.2506801754278477,0,1,0,0,0,0.0044260265339275,-0.0021709865584316,0.0132778612356525,2,GLD
2014-11-14,2014-11-14,train,0,R0: Calm / risk-on,0.20805974317439963,-0.3861963360656872,0.6354982658783593,-0.9505391942457442,0.6995792631053482,-1.8504928715958628,-0.8272270197072212,-0.19837970948934636,-0.2705245201498277,-0.20448976845919392,1.8246821582950057,-1.07895612439455,-0.6794073588326585,-0.24968603588968505,-0.7837285701938067,-0.24968603588968505,0,1,0,0,0,0.0119464246902452,0.0051049475685218,0.0080370241909188,0,SPY
2014-11-21,2014-11-21,train,0,R0: Calm / risk-on,0.13857713658162268,-0.30573579723350497,0.838278517768164,-0.8001749582801768,0.4727243435856115,-1.5498093430581328,-0.8225059234442526,-0.2937981796042567,-0.4277901359279222,-0.318438413595604,1.3969251924230355,-0.9002965460429736,-0.3817342688014079,-0.2484690300596027,-0.743719290739678,-0.2484690300596027,0,1,0,0,0,0.002516498469824,0.0198997406311192,-0.0284253297222143,1,TLT
2014-11-28,2014-11-28,train,0,R0: Calm / risk-on,0.4015463459841377,-0.3001123848026079,0.8203335084274599,-1.686382393400537,0.4749272392794244,-1.1686674493353362,-0.7593154786953799,-0.11284640912825478,-0.19909953469330643,-0.3032803216046978,1.8831639262225082,-1.1381486994479642,-0.689347853314257,-0.2461227193445024,-0.7037100112855493,-0.2461227193445024,0,1,0,0,0,0.0038608136357591,-0.0091887889697281,0.0206939584532479,2,GLD
2014-12-05,2014-12-05,train,0,R0: Calm / risk-on,0.11054949176699728,-0.054795359955228294,1.324640114203309,-0.272306210493852,0.7239650156845475,-2.0971374632335986,-0.602608414561556,-0.11201389368144338,-0.44778016112030133,0.12109416220760935,0.9647541277118786,-1.0475133910632937,0.2538155460045403,-0.25239530746922917,-0.6637007318314206,-0.25239530746922917,0,1,0,0,0,-0.0341828428699069,0.0430257582603264,0.0260421510878805,1,TLT
2014-12-12,2014-12-12,train,0,R0: Calm / risk-on,1.2242447401414596,1.8464142097062597,0.9137185166599995,-2.2686168933513846,-1.2111285024006635,-1.301251996532621,0.7310258147592613,0.9998314352903794,0.46348120792346137,0.9956205592947298,0.2199151549283444,-1.21069356930786,1.2469024948771597,-0.24896414306426343,-0.6236914523772918,-0.24896414306426343,0,1,0,0,0,0.0336993245268451,-0.0034040646440519,-0.0224853669763998,0,SPY
2014-12-19,2014-12-19,train,0,R0: Calm / risk-on,0.5756505795978961,0.45268849341683737,1.4860169172140185,0.2222156175339982,1.8791435840652828,-1.168139474656418,-0.3547140407368057,0.06881430702058457,-0.45148091116482103,0.48452474921770916,0.3893555439675758,-1.2081326849251692,1.060288373408928,-0.25387346480328044,-0.5836821729231632,-0.25387346480328044,0,1,0,0,0,0.009296897792473,-0.0095069748173377,0.0005228299184749,0,SPY
2014-12-26,2014-12-26,train,0,R0: Calm / risk-on,0.49265492755523366,-0.23962565602964547,0.7856187764634632,-0.1827402612123127,1.8248785062237691,-0.8339858179300192,-0.7370503822033198,-0.18436067354885702,-0.3749279616134092,-0.13530628121362456,1.4202832586791307,-1.0091043130440316,-0.296708191704716,-0.25017240703225496,-0.5436728934690345,-0.25017240703225496,0,1,0,0,0,-0.014440706061184,0.0233903880326455,-0.0065313941308078,1,TLT
2015-01-02,2015-01-02,train,0,R0: Calm / risk-on,0.8371215449971191,0.7770133883880889,0.6971420614085952,-1.1970723396782286,0.7004498389648743,-1.1524730805187529,-0.5443400771665472,-0.042191838574649934,-0.3681900384093707,0.10284598561038961,1.049854789980799,-1.068070612229659,0.1783172728827716,-0.25153326959687206,-0.5036636140149058,-0.25153326959687206,0,1,0,0,0,-0.0057439423835248,0.0294531940968083,0.0278751775432577,1,TLT
2015-01-09,2015-01-09,train,0,R0: Calm / risk-on,1.087371016615958,1.061485244807235,0.9748999677164991,-1.479590443984285,1.4276957116316444,-0.8820233749524857,-0.1891680465456459,0.3505895947127167,-0.08389545769109501,0.7329076159564714,1.0749523476126936,-1.2803597684314614,0.3658741841726925,-0.2537490229066401,-0.4636543345607771,-0.2537490229066401,0,1,0,0,0,-0.0128273826438146,0.0161745315934704,0.0448575337797194,2,GLD
2015-01-16,2015-01-16,train,0,R0: Calm / risk-on,1.259426797461315,1.1356203373479852,1.3096739924598464,-1.1763523978807706,0.9497792736256163,-0.6452547196563359,-0.06823104394205454,0.40750335351550615,-0.1572786323238474,0.4322775852973028,0.558612209657262,-1.347289886521309,1.007506378108865,-0.25099358510684244,-0.4236450551066484,-0.25099358510684244,0,1,0,0,0,0.0165650879665908,0.0118631047844801,0.013956960175643,0,SPY
2015-01-23,2015-01-23,train,0,R0: Calm / risk-on,0.9276257712723369,0.09401608448006049,1.3884952298938347,-0.9713029627292573,2.170044476526145,0.025256709604593485,-0.34136967235201027,0.25341346028856254,-0.10527005098950289,0.2526111305384616,1.3872978129986682,-1.2761343380503547,0.008544090962706547,-0.25038319072773263,-0.3836357756525197,-0.25038319072773263,0,1,0,0,0,-0.0269306569697388,0.0260444691900663,-0.0062787280657983,1,TLT
2015-01-30,2015-01-30,train,0,R0: Calm / risk-on,1.5238706180926798,0.8732891867332944,0.29991155773596045,-2.0911200521937965,1.0862971404656463,-0.6317580984291303,-0.06048679136255914,0.6196421879105792,0.38054421741718975,0.4315089256901548,1.9957546087136213,-1.3982320740637033,-0.5526176551008761,-0.24747523740934213,-0.343626496198391,-0.24747523740934213,0,1,0,0,0,0.0305840442496565,-0.0510218655965507,-0.038963124159577,0,SPY
2015-02-06,2015-02-06,train,0,R0: Calm / risk-on,0.5501471539006915,-0.4473619266546969,0.6002795715093423,1.2594350043918137,2.248052812143974,-2.7095347628847284,-0.17501782963835588,0.47094612357704585,0.22320021376181268,0.5174727427985953,1.83937086775662,-1.3258968394133117,-0.4463249368075561,-0.2510846249747305,-0.3036172167442623,-0.2510846249747305,0,1,0,0,0,0.020578662612821,-0.0211513984150514,-0.0055630144648536,0,SPY
2015-02-13,2015-02-13,train,0,R0: Calm / risk-on,0.2929576324368567,-0.7283276889686227,0.5479633583951405,0.7695457940520786,1.2719655839325197,-2.1324932351786376,-0.6005901378492254,-0.019157451692499234,-0.14208485326427034,-0.2874651312779869,1.6746564427816282,-1.059910980885694,-0.5385670831580016,-0.2426526131662128,-0.2636079372901336,-0.2426526131662128,0,1,0,0,0,0.0069596155567319,-0.0128714621262411,-0.0228852729345006,0,SPY
2015-02-20,2015-02-20,train,0,R0: Calm / risk-on,0.17850006808728602,-0.6060625389462091,0.3193718218706789,0.995255944616781,1.0646962688080934,-2.722185691309007,-0.4702321825458824,0.06565961577534575,-0.040937889326140495,-0.04541812538917059,1.5959156708825868,-0.9862055191605544,-0.5202252561787577,-0.24649907737208898,-0.2235986578360049,-0.24649907737208898,0,1,0,0,0,-0.0027455731917198,0.0236285349062566,0.0076336302232034,1,TLT
