date,spy_ret_1d,spy_ret_5d,spy_ret_20d,spy_vol_5d,spy_vol_20d,spy_drawdown_60d,spy_ma_gap_5_20,spy_intraday_range,spy_volume_z_20,tlt_ret_1d,tlt_ret_5d,tlt_ret_20d,tlt_vol_5d,tlt_vol_20d,tlt_drawdown_60d,tlt_ma_gap_5_20,tlt_intraday_range,tlt_volume_z_20,gld_ret_1d,gld_ret_5d,gld_ret_20d,gld_vol_5d,gld_vol_20d,gld_drawdown_60d,gld_ma_gap_5_20,gld_intraday_range,gld_volume_z_20,qqq_spy_log_ratio,qqq_spy_ratio_chg_5d,spy_tlt_corr_20d,spy_gld_corr_20d,vix_level,vix_change_5d,tnx_level,tnx_change_5d,source
2020-07-02,0.005492020926052449,0.01575274267721837,0.007181020841988193,0.015668473807204385,0.019073370197247926,-0.02969070915381955,-0.008518514505228114,0.013419601876738624,-1.1402870686952453,0.001039319384222402,0.0017220190749245145,0.04082536682760238,0.006149170623924991,0.008765153635189819,-0.04136243757222158,0.014777409850127432,0.009169264830239322,-1.1349554076381776,0.0021582779375089872,0.0070917580717374945,0.034732041865031475,0.003692144632746388,0.007760222259134348,-0.002330163117799988,0.017743455843778122,0.0073062717206784375,-0.2437632009279591,-0.16557066744765425,0.008976568527056833,-0.7864259819529277,-0.0364629842529881,27.68000030517578,-4.540000915527344,0.6690000295639038,-0.004999995231628418,derived_from_yahoo_prices_daily
2020-07-06,0.015319445672386021,0.05511065361294759,-0.0028059725528002855,0.004500967710451424,0.018508219794559726,-0.014711666316567396,0.0026018612311793365,0.0066866273420954705,-1.3206038325899099,-0.004103376668613726,-0.013027896759162935,0.04387033836708713,0.0023122474173694553,0.008622414071872652,-0.04528802898128592,0.009950564937615258,0.00779526323799712,-0.8967888011324774,0.005970880083946397,0.008609418769306845,0.06118661186439155,0.004049140718432984,0.005773785860848264,0.0,0.016409388475425057,0.004821988208093262,-0.7446242162348723,-0.15660263138792374,0.017804404632248194,-0.7780626503477722,0.26022199219171144,27.940000534057617,-6.789999008178711,0.6840000152587891,0.0480000376701355,derived_from_yahoo_prices_daily
2020-07-07,-0.010367237316671917,0.030152419036955362,-0.02518819341048436,0.010015243425075078,0.018410982133290465,-0.024873617600216114,0.009925199647831118,0.013225807612432786,-0.5186006838564359,0.013957840010923579,0.004081744892099799,0.05399208831713368,0.0076955585760175,0.009012135748694295,-0.031868878717710825,0.008079975795031613,0.012953206843909734,0.8646595639032505,0.0062904343270385864,0.014359518736322827,0.05671304375238634,0.0044284598811028374,0.005541579115036286,0.0,0.016460038077381167,0.009820092695522425,0.7598536818823522,-0.1531482521122797,0.025002110254674248,-0.7892519171563459,0.20461689516446574,29.43000030517578,-2.3500003814697266,0.6499999761581421,0.013999998569488525,derived_from_yahoo_prices_daily
2020-07-08,0.00761923099124742,0.02504349988363635,-0.010084474639719686,0.00940299919867438,0.0184519198054622,-0.01741552807376423,0.015507487041910517,0.01138584246103454,-1.555321651065395,-0.004003257357836636,0.0049469535606341914,0.0386944342237479,0.007544008443417749,0.00889266467141238,-0.035736809425659155,0.007143722892275495,0.0066241040271982,-1.188624530892614,0.006192353605402356,0.016120785843794287,0.05330975200272456,0.0046480897076059255,0.005372756323505021,0.0,0.01703607169171728,0.006349590536231305,0.7164724530765666,-0.14768181059920532,0.023784992987890274,-0.7963026693636566,0.25010560111120556,28.079999923706055,-2.3500003814697266,0.652999997138977,0.0,derived_from_yahoo_prices_daily
2020-07-09,-0.005709052750015417,0.012354407522998647,-0.010197703915840574,0.01039768010535474,0.01845358154050408,-0.02300917225755461,0.018535460005355997,0.020421188777980593,-0.40936096693973295,0.015797126887090958,0.022687652255786468,0.03977325397449843,0.00968721524770545,0.008977158859371738,-0.02038326983236638,0.009729544606889018,0.017048458909751887,1.0302690402828039,-0.002708063902871328,0.01790388205102498,0.036378545244999866,0.003919444840540606,0.004754090052832882,-0.0027044004055614135,0.018810163414839876,0.010965044843549517,1.1350142933836278,-0.13358436842603158,0.0332579282173838,-0.7909786140693685,0.33465262928367107,29.260000228881836,0.6399993896484375,0.6050000190734863,-0.0769999623298645,derived_from_yahoo_prices_daily
2020-07-10,0.010158884672335342,0.01702127126928158,0.05933863899949487,0.01093239671974017,0.012304952162051982,-0.013033449799108143,0.01898782843024005,0.016121399213532627,-1.3225767970567388,-0.005037228988840696,0.016611103882723546,0.016011566781672214,0.010576178500059439,0.008182920777096628,-0.025305416226526822,0.012269688582452698,0.012324914502436241,-0.5504824664120067,-0.0025972650920347735,0.013148339021481142,0.04102151248223031,0.004823635776817314,0.004387677706976358,-0.0052912805918138295,0.01938621087429082,0.009338533893648974,-0.3550178686493357,-0.13693904894364187,0.028631618504012385,-0.7823847497451899,-0.037751976000846496,27.290000915527344,-0.3899993896484375,0.6330000162124634,-0.03600001335144043,derived_from_yahoo_prices_daily
2020-07-13,-0.0086965422952317,-0.0069947166983360684,0.038737273268682745,0.009580881315427161,0.01237942907504807,-0.021579432038034696,0.015601501218246883,0.027251895159652668,0.5115898767582832,0.0033008532884625003,0.024015333839799643,0.029000297980778408,0.009763690920459185,0.007813793336659517,-0.022082776600185205,0.01563759857231406,0.01036679611522653,-0.7093370249321947,0.0012403879870823364,0.008417846924617188,0.04084658543396787,0.004454232151749123,0.00438918581642272,-0.004056690318433143,0.019015979645051084,0.0074379843697390275,0.5448834562005893,-0.14902783567580144,0.007574795712122301,-0.7719959958173458,-0.023023443068393296,32.189998626708984,4.249998092651367,0.6399999856948853,-0.04400002956390381,derived_from_yahoo_prices_daily
2020-07-14,0.012875570202764423,0.01624809082110038,0.04232078190135968,0.009778279077362999,0.012516661123773531,-0.00890025869679878,0.016748521493212154,0.02433215050451319,0.2725854352015892,0.001437051385444874,0.011494545214321073,0.02988330130715016,0.008328937483639354,0.00781095851852119,-0.02067644905899646,0.016444696743729947,0.006941142269038243,0.5829030122665434,0.004652728164010819,0.006780140761589585,0.047284162749183,0.004074831874199252,0.004329390732037714,0.0,0.017993358345864685,0.008167338678586555,0.11972436676986094,-0.15484993119959548,-0.0017016790873157772,-0.7604228446271729,0.03086800275574956,29.520000457763672,0.09000015258789062,0.6150000095367432,-0.034999966621398926,derived_from_yahoo_prices_daily
2020-07-15,0.009145518693804573,0.017774378523657312,0.03240164683595995,0.009970721925036542,0.011995411163032054,0.0,0.01871323646746137,0.011713591610240517,0.1094247292473521,-0.004677987536788994,0.010819815035368656,0.04065772561824029,0.00846099182725741,0.006898951004507419,-0.025247013567859744,0.016573900331231073,0.006733167860076332,-0.8166302115023474,0.0008809438623464781,0.0014687310185336538,0.04865806262991307,0.0030663686061308806,0.004292411688419382,0.0,0.015828383441790717,0.0061053969032020886,-0.7342617483648334,-0.16196213181013325,-0.014280321210927927,-0.7398849888080923,0.07202476713466349,27.760000228881836,-0.31999969482421875,0.6299999952316284,-0.023000001907348633,derived_from_yahoo_prices_daily
2020-07-16,-0.003299047528329821,0.02018438374534297,0.03326458170202855,0.009455890374019992,0.011975053507561262,-0.00329361165041564,0.021107206541185697,0.006826903529009298,-1.4927622244180352,0.004737946148048565,-0.00023936570367369005,0.04127626513863401,0.0045457306043836885,0.006910174140770874,-0.018038368835629592,0.014435617779801957,0.004367922964161887,-0.2557190321087168,-0.009496639325154646,-0.005319844403749719,0.037252629517334,0.005367361999847747,0.0050555142450226425,-0.009451688651900159,0.012881280606831691,0.008000984636398503,0.1677502161737238,-0.16550896723488107,-0.031924598808849486,-0.7407460929084227,0.1100673272260347,28.0,-1.260000228881836,0.6119999885559082,0.006999969482421875,derived_from_yahoo_prices_daily
